"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.160118318E0	-3.240509927E-1	-1.145046949E0	1.753435969E0	2.119122285E0
1.165045318E0	-3.240509927E-1	-1.145046949E0	1.753435969E0	2.119122285E0
1.169972395E0	-3.240509927E-1	-1.145046949E0	1.753435969E0	2.119122285E0
1.174899164E0	-3.240509927E-1	-1.145046949E0	1.753435969E0	2.119122285E0
1.179826010E0	-2.149730027E-1	-1.159831047E0	1.757344007E0	2.116525315E0
1.184753327E0	-2.149730027E-1	-1.159831047E0	1.757344007E0	2.116525315E0
1.189679865E0	-2.149730027E-1	-1.159831047E0	1.757344007E0	2.116525315E0
1.194606634E0	-2.149730027E-1	-1.159831047E0	1.757344007E0	2.116525315E0
1.199533630E0	-1.635580063E-1	-1.318899989E0	1.497138977E0	2.001917461E0
1.204460169E0	-1.635580063E-1	-1.318899989E0	1.497138977E0	2.001917461E0
1.209387241E0	-1.635580063E-1	-1.318899989E0	1.497138977E0	2.001917461E0
1.214314010E0	-1.635580063E-1	-1.318899989E0	1.497138977E0	2.001917461E0
1.219240779E0	4.707400128E-2	-1.418933988E0	1.722573042E0	2.232229269E0
1.224167549E0	4.707400128E-2	-1.418933988E0	1.722573042E0	2.232229269E0
1.229094318E0	4.707400128E-2	-1.418933988E0	1.722573042E0	2.232229269E0
1.234021087E0	4.707400128E-2	-1.418933988E0	1.722573042E0	2.232229269E0
1.238947568E0	4.413410127E-1	-1.468276024E0	1.734840035E0	2.315229216E0
1.243874337E0	4.413410127E-1	-1.468276024E0	1.734840035E0	2.315229216E0
1.248800783E0	4.413410127E-1	-1.468276024E0	1.734840035E0	2.315229216E0
1.253727783E0	4.413410127E-1	-1.468276024E0	1.734840035E0	2.315229216E0
1.258655168E0	6.709949970E-1	-9.795410037E-1	1.893182039E0	2.234697541E0
1.263582264E0	6.709949970E-1	-9.795410037E-1	1.893182039E0	2.234697541E0
1.268509110E0	6.709949970E-1	-9.795410037E-1	1.893182039E0	2.234697541E0
1.273435495E0	6.709949970E-1	-9.795410037E-1	1.893182039E0	2.234697541E0
1.278361649E0	-2.853899896E-1	-6.917759776E-1	1.841092944E0	1.987366267E0
1.283288187E0	-2.853899896E-1	-6.917759776E-1	1.841092944E0	1.987366267E0
1.288214654E0	-2.853899896E-1	-6.917759776E-1	1.841092944E0	1.987366267E0
1.293141115E0	-2.853899896E-1	-6.917759776E-1	1.841092944E0	1.987366267E0
1.298067884E0	-1.104635000E0	-3.705019951E-1	1.124403954E0	1.619189446E0
1.302994250E0	-1.104635000E0	-3.705019951E-1	1.124403954E0	1.619189446E0
1.307920712E0	-1.104635000E0	-3.705019951E-1	1.124403954E0	1.619189446E0
1.312847173E0	-1.104635000E0	-3.705019951E-1	1.124403954E0	1.619189446E0
1.317773096E0	-1.104140043E0	-1.149320006E-1	1.068132043E0	1.540532590E0
1.322699789E0	-1.104140043E0	-1.149320006E-1	1.068132043E0	1.540532590E0
1.327626332E0	-1.104140043E0	-1.149320006E-1	1.068132043E0	1.540532590E0
1.332553101E0	-1.104140043E0	-1.149320006E-1	1.068132043E0	1.540532590E0
1.337479794E0	-3.094590008E-1	6.021200120E-2	9.383440018E-1	9.898887937E-1
1.342405933E0	-3.094590008E-1	6.021200120E-2	9.383440018E-1	9.898887937E-1
1.347332471E0	-3.094590008E-1	6.021200120E-2	9.383440018E-1	9.898887937E-1
1.352259240E0	-3.094590008E-1	6.021200120E-2	9.383440018E-1	9.898887937E-1
1.357185957E0	2.090861082E0	-8.125230074E-1	-3.524479866E-1	2.270707662E0
1.362112187E0	2.090861082E0	-8.125230074E-1	-3.524479866E-1	2.270707662E0
1.367038880E0	2.090861082E0	-8.125230074E-1	-3.524479866E-1	2.270707662E0
1.371965418E0	2.090861082E0	-8.125230074E-1	-3.524479866E-1	2.270707662E0
1.376892418E0	-2.496050000E-1	-8.661940098E-1	-9.930009842E-1	1.341135964E0
1.381818895E0	-2.496050000E-1	-8.661940098E-1	-9.930009842E-1	1.341135964E0
1.386745125E0	-2.496050000E-1	-8.661940098E-1	-9.930009842E-1	1.341135964E0
1.391672510E0	-2.496050000E-1	-8.661940098E-1	-9.930009842E-1	1.341135964E0
1.396599577E0	-3.109968901E0	1.510549933E-1	-1.540390015E0	3.473834419E0
1.401527192E0	-3.109968901E0	1.510549933E-1	-1.540390015E0	3.473834419E0
1.406454346E0	-3.109968901E0	1.510549933E-1	-1.540390015E0	3.473834419E0
1.411381428E0	-3.109968901E0	1.510549933E-1	-1.540390015E0	3.473834419E0
1.416308505E0	-3.259227991E0	-1.519619972E-1	-1.755795956E0	3.705196214E0
1.421235813E0	-3.259227991E0	-1.519619972E-1	-1.755795956E0	3.705196214E0
1.426162029E0	-3.259227991E0	-1.519619972E-1	-1.755795956E0	3.705196214E0
1.431089106E0	-3.259227991E0	-1.519619972E-1	-1.755795956E0	3.705196214E0
1.436016106E0	-5.281272888E0	8.867790103E-1	-2.369827986E0	5.856133965E0
1.440942630E0	-5.281272888E0	8.867790103E-1	-2.369827986E0	5.856133965E0
1.445869015E0	-5.281272888E0	8.867790103E-1	-2.369827986E0	5.856133965E0
1.450794938E0	-5.281272888E0	8.867790103E-1	-2.369827986E0	5.856133965E0
1.455721308E0	-5.281272888E0	8.867790103E-1	-2.369827986E0	5.856133965E0
1.460648155E0	-1.054748154E1	1.974274993E0	-1.163373947E0	1.079354286E1
1.465574539E0	-1.054748154E1	1.974274993E0	-1.163373947E0	1.079354286E1
1.470500770E0	-1.054748154E1	1.974274993E0	-1.163373947E0	1.079354286E1
1.475427232E0	-1.054748154E1	1.974274993E0	-1.163373947E0	1.079354286E1
1.480353308E0	-1.406012726E1	2.108187914E0	1.745391011E0	1.432403660E1
1.485279842E0	-1.406012726E1	2.108187914E0	1.745391011E0	1.432403660E1
1.490206534E0	-1.406012726E1	2.108187914E0	1.745391011E0	1.432403660E1
1.495133303E0	-1.523186302E1	2.010539055E0	4.416394234E0	1.598613325E1
1.500060385E0	-1.523186302E1	2.010539055E0	4.416394234E0	1.598613325E1
1.504987539E0	-1.523186302E1	2.010539055E0	4.416394234E0	1.598613325E1
1.509915140E0	-1.523186302E1	2.010539055E0	4.416394234E0	1.598613325E1
1.514842601E0	-1.523186302E1	2.010539055E0	4.416394234E0	1.598613325E1
1.519769678E0	-1.642948151E1	2.656444073E0	7.514791965E0	1.826079560E1
1.524696131E0	-1.642948151E1	2.656444073E0	7.514791965E0	1.826079560E1
1.529623131E0	-1.642948151E1	2.656444073E0	7.514791965E0	1.826079560E1
1.534549669E0	-1.642948151E1	2.656444073E0	7.514791965E0	1.826079560E1
1.539476423E0	-1.540345192E1	3.409565926E0	5.977202892E0	1.687063796E1
1.544403193E0	-1.540345192E1	3.409565926E0	5.977202892E0	1.687063796E1
1.549329664E0	-1.540345192E1	3.409565926E0	5.977202892E0	1.687063796E1
1.554256433E0	-1.540345192E1	3.409565926E0	5.977202892E0	1.687063796E1
1.559183510E0	-1.481273746E1	3.105387926E0	6.839385033E0	1.660836575E1
1.564110524E0	-1.481273746E1	3.105387926E0	6.839385033E0	1.660836575E1
1.569037678E0	-1.481273746E1	3.105387926E0	6.839385033E0	1.660836575E1
